yr,blk,ag01,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
"23","G","153339",96136942,0,0,0,0,0,-555770,720000,0,51468,0,0
"23","G","153340",4762611,61199023,0,3040326,13591642,0,-109747313,0,0,11436456,255818594,0
"23","G","153341",3705105,53562084,0,0,0,0,0,0,0,158065,0,0
"23","G","153342",15051702,116062003,0,4034000,0,0,-34357409,0,0,603300,0,0
"23","G","153343",1151650,118397619,0,0,0,0,0,840000,0,0,0,0
"23","G","153345",8619482,192840940,0,0,1096214,4330755,-45197818,0,0,4820461,19823050,0
"23","G","153346",11713000,380210000,0,0,8089000,20000,-549427000,4444000,0,4684000,89608000,0
"23","G","153347",101550000,290469000,0,0,0,0,-56053000,62402000,0,4750000,0,0
"23","G","153349",0,38370173,0,0,144530,0,15267228,0,2184000,4942581,2209242,0
"23","G","153351",0,29657306,0,0,0,0,-20958424,0,0,340874,0,0
"23","G","153354",21701733,132812149,0,0,10895925,0,232200,600000,0,17911202,101695296,0
"23","G","153358",0,234275,0,0,0,0,0,0,0,138709,0,0
"23","G","153367",7765184,852691,0,0,2961729,0,0,0,0,44239,10259569,0
"23","G","153368",0,58534000,0,0,0,13127000,-67377000,0,0,10089000,0,0
"23","G","153370",0,107655,0,0,0,0,121010,0,0,0,0,0
"23","G","153371",14115417,4733367,0,0,29403044,0,-12973321,5880513,0,4827267,266277969,0
"23","G","153373",0,12926600,0,0,0,0,525500,0,0,76700,0,0
"23","G","153374",17080,3665681,0,0,0,0,0,0,0,2014,0,0
"23","G","153377",116846210,112665,0,0,0,0,-13899265,20400,0,0,0,0
"23","G","153378",0,2678381,0,0,67925206,0,24598618,14617,0,367764,269809930,0
"23","G","153379",177386930,151171,0,0,0,0,0,0,0,47061,0,0
"23","G","153385",282783,3360074,0,0,0,0,0,0,0,5833564,0,0
"23","G","153387",5400734,62519288,0,0,0,0,0,0,0,0,0,0
"23","G","153390",7410042,0,0,0,0,0,0,153000,0,8800,0,0
"23","G","153393",40248982,0,0,0,0,0,0,0,0,0,0,0
"23","G","153394",8785000,15882000,0,432000,0,0,1515000,0,0,1521000,0,0
"23","G","153400",1810500,263118206,234595808,0,13390145,0,-260749968,0,0,662619,124974676,0
"23","G","153402",0,26463356,0,0,0,0,0,0,0,245717,0,0
