yr,blk,ai01,i_i1,i_i3,i_i4,i_i5,i_i6,i_i7
"23","I","100224",1,"3633099",9,8655690.00,1358943390,157.00
"23","I","100224",7,"9994000",0,0.00,1358943390,0.00
"23","I","100225",1,"3471008",27,10947.00,1335512123,121998.00
"23","I","100225",2,"3633012",27,5087.00,890341415,175022.88
"23","I","100225",7,"9994000",0,0.00,2225853538,0.00
"23","I","100228",1,"3471008",27,504.00,52054881,103283.49
"23","I","100228",2,"3416027",27,4115.00,596882485,145050.42
"23","I","100228",7,"9994000",0,0.00,648937366,0.00
"23","I","100263",1,"4127106",27,4.50,585177,130039.33
"23","I","100263",7,"9994000",0,0.00,585177,0.00
"23","I","100279",1,"1429005",27,3800.00,499549183,131460.31
"23","I","100279",7,"9994000",0,0.00,499549183,0.00
"23","I","100293",1,"4126305",27,35.00,1696000,48457.14
"23","I","100293",2,"4122401",27,20.00,922000,46100.00
"23","I","100293",7,"9994000",0,0.00,2618000,0.00
"23","I","100317",1,"4151401",27,240.00,120546784,502278.27
"23","I","100317",7,"9994000",0,0.00,120546784,0.00
"23","I","100353",2,"3529013",9,1895.00,4460145,2353.64
"23","I","100353",3,"3422022",27,11.00,3328313,302654.07
"23","I","100353",1,"3425008",9,386.00,5785210,14987.59
"23","I","100353",7,"9994000",0,0.00,13573668,0.00
"23","I","100354",1,"3549005",9,336481.00,77727150,231.00
"23","I","100354",7,"9994000",0,0.00,77727150,0.00
"23","I","100357",1,"3511021",9,20814.00,4808025,231.00
"23","I","100357",7,"9994000",0,0.00,4808025,0.00
"23","I","100441",1,"2159001",27,518.00,66891228,129133.64
"23","I","100441",2,"3532343",9,44027.00,35662215,810.01
"23","I","100441",7,"9994000",0,0.00,102553443,0.00
"23","I","100443",1,"3527013",9,466380.44,64020043,137.27
"23","I","100443",2,"3621001",9,125199.00,44194360,352.99
"23","I","100443",3,"3342099",27,210.00,63645919,303075.80
"23","I","100443",7,"9994000",0,0.00,171860322,0.00
"23","I","100444",1,"3541099",9,1705.00,5223497,3063.63
"23","I","100444",7,"9994000",0,0.00,5223497,0.00
"23","I","100445",1,"2365000",9,4981.00,7545850,1514.93
"23","I","100445",7,"9994000",0,0.00,7545850,0.00
"23","I","100446",1,"3541099",9,14574.00,46123606,3164.79
"23","I","100446",7,"9994000",0,0.00,46123606,0.00
"23","I","100447",1,"2364000",9,1285145.00,342614365,266.60
"23","I","100447",7,"9994000",0,0.00,342614365,0.00
"23","I","100449",2,"2143502",12,19334.94,2484540,128.50
"23","I","100449",1,"2142200",27,13.38,1836780,137278.03
"23","I","100449",7,"9994000",0,0.00,4321320,0.00
"23","I","100454",8,"3526077",9,139.33,144720,1038.69
"23","I","100454",9,"3432000",27,28.98,5768200,199064.48
"23","I","100454",11,"2149901",27,45.36,57958,1277.73
"23","I","100454",1,"3525021",9,491.70,333016,677.28
"23","I","100454",3,"2392800",9,50.00,33514,670.28
"23","I","100454",5,"0193008",9,12753.39,23530000,1845.00
"23","I","100454",10,"0321999",9,408.23,355586,871.04
"23","I","100454",2,"3541099",9,700.00,995069,1421.53
"23","I","100454",4,"2363000",9,650.00,672410,1034.48
"23","I","100454",6,"9922100",0,0.00,54205,0.00
"23","I","100454",7,"9994000",0,0.00,31944678,0.00
"23","I","100473",1,"3541099",9,552.97,3049417,5514.62
"23","I","100473",7,"9994000",0,0.00,3049417,0.00
"23","I","100477",2,"3552003",9,14555.92,2203330,151.37
"23","I","100477",4,"2613003",9,40.49,49860,1231.34
"23","I","100477",1,"3551007",9,8694.00,1904819,219.10
"23","I","100477",3,"2616002",9,20.00,3319,165.95
"23","I","100477",7,"9994000",0,0.00,4161328,0.00
"23","I","100479",1,"0192100",27,3681.00,983784897,267260.23
"23","I","100479",2,"2621000",27,1059.00,272037316,256881.32
"23","I","100479",3,"2641000",9,24755.00,22428780,906.03
"23","I","100479",7,"9994000",0,0.00,1278250993,0.00
"23","I","100480",1,"2636099",9,74902.00,57847099,772.30
"23","I","100480",7,"9994000",0,0.00,57847099,0.00
"23","I","100482",1,"0192100",27,8173.95,1280659600,156675.73
"23","I","100482",7,"9994000",0,0.00,1280659600,0.00
"23","I","100483",1,"2643004",9,1551000.00,268774880,173.29
"23","I","100483",7,"9994000",0,0.00,268774880,0.00
"23","I","100485",1,"2643004",9,4524504.00,1049399251,231.94
"23","I","100485",7,"9994000",0,0.00,1049399251,0.00
"23","I","100488",1,"2636099",9,69742.00,44699725,640.93
"23","I","100488",7,"9994000",0,0.00,44699725,0.00
"23","I","100516",1,"3413943",9,8334419.00,3404761342,408.52
"23","I","100516",2,"3479005",27,1131.07,250161932,221172.81
"23","I","100516",3,"3415032",27,64.42,24841673,385620.51
"23","I","100516",4,"3543001",9,202151.50,153225695,757.97
"23","I","100516",5,"3415027",27,569.55,94082614,165187.63
"23","I","100516",6,"9922100",0,0.00,379522152,0.00
"23","I","100516",7,"9994000",0,0.00,4306595408,0.00
"23","I","100532",1,"2960000",16,8031.00,1806959,225.00
"23","I","100532",7,"9994000",0,0.00,1806959,0.00
"23","I","100547",1,"3213301",27,2001.00,98526348,49238.55
"23","I","100547",2,"3213302",27,711.00,30526389,42934.44
"23","I","100547",7,"9994000",0,0.00,129052737,0.00
"23","I","100548",1,"3211301",9,60867.00,21912250,360.00
